"RefA","RefALink","RefB","RefBLink","Snippet","MatchType","k_n_ref","DeterministicScore","RefBExact","RefBExactLink","RefBExcerpt","LLMStatus","LLMParagraph","LLMConfidence","LLMExcerpt"
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.12.3","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.12.3","Likutei Moharan.17","https://www.sefaria.org.il/Likutei_Moharan.17","שעלידי צדקה יכולין לקרא את הטוב שנופל במדרגה התחתונה בבחינת רגלין בבחינת רות ג ז ותגל מרגלותיו ותשכב וכן מרמז בדברי רבנו ז ל במקום אחר לקוטי מוהר ן חלק א סימן יז שעלידי צדקה מעוררין הטוב שנעלם ונסתר במקומות הרחוקים מהשםיתברך","k_of_n","6/40 words match (window=""שעלידי צדקה יכולין לקרא את הטוב שנופל במדרגה התחתונה בבחינת רגלין בבחינת רות ג ז ותגל מרגלותיו ותשכב וכן מרמז בדברי רבנו ז ל במקום אחר לקוטי מוהר ן חלק א שעלידי צדקה מעוררין הטוב שנעלם ונסתר במקומות הרחוקים מהשםיתברך"")","6/40","Likutei Moharan.17.6.2","https://www.sefaria.org.il/Likutei_Moharan.17.6.2","הינו כשמתגברים העכו""ם ואינם מניחים לישראל לעשות מצוות, כמו שהיה נמצא שגזרו שלא ימולו את בניהם ושיחללו את השבת (עיין ר""ה יט, ב""ב ס: מעילה יז). נמצא, שהטוב שהיו ישראל צריכין לעשות הוא כבוש תחת ידם. וכן כשמונעין את ישראל מעבודת השם יתברך עלידי גרמא שגורמין, עלידי המסים וארנוניות שמטילין עליהם, וכן עלידי שמונעין טובות מישראל, שעלידי כל זה נכבש הטוב תחת ידם, דהינו חלקי נשמות ישראל.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.15.11","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.15.11","Likutei Moharan.8","https://www.sefaria.org.il/Likutei_Moharan.8","כנור היה תלוי למעלה ממטתו וכח הכנור נמשך מהתורה כמובא בדברי אדמו ר ז ל לקוטי מוהר ן חלק א סימן ח כי הכנור של דוד היה של חמש נימין כנגד חמשה חמשי תורה והוא היה מעוררו משנתו עד שידע לכון השעה","k_of_n","15/40 words match (window=""כנור היה תלוי למעלה ממטתו וכח הכנור נמשך מהתורה כמובא בדברי אדמו ר ז ל לקוטי מוהר ן חלק א כי הכנור של דוד היה של חמש נימין כנגד חמשה חמשי תורה והוא היה מעוררו משנתו עד שידע לכון השעה"")","15/40","Likutei Moharan.8.2.4","https://www.sefaria.org.il/Likutei_Moharan.8.2.4","וזה בחינת (ברכות ג:) רוח צפונית המנשבת בכנור של דוד, כי כנור של דוד היה של חמש נימין, כנגד חמשה חמשי תורה, ורוח צפון שהיתה מנשבת בו הוא בחינת: ורוח אלקים מרחפת על פני המים הנ""ל; כי רוח צפון הוא בחינת הרוח הצפון בלבו של אדם, שהוא בחינת הרוחחיים,","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.3","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.3","Likutei Moharan.155","https://www.sefaria.org.il/Likutei_Moharan.155","יתגבר כארי לעמד בבקר שיהא הוא וכו הינו שצריך שיקום בזריזות בלי עצלות וזה בחינת אמונה כמו שכתב רבנו בלקוטי מוהר ן חלק א סימן קנה שזריזות הוא בחינת אמונה","k_of_n","7/28 words match (window=""יתגבר כארי לעמד בבקר שיהא הוא וכו הינו שצריך שיקום בזריזות בלי עצלות וזה בחינת אמונה כמו שכתב רבנו בלקוטי מוהר ן חלק א שזריזות הוא בחינת אמונה"")","7/28","Likutei Moharan.155.2.4","https://www.sefaria.org.il/Likutei_Moharan.155.2.4","שכל זה הוא בחינת ארך אפים, שזוכין עלידי אמונה, שהוא בחינת כח הגודל וכח הצומח. כי עלידיזה הוא גדל וצומח ומצליח בעבודתו, כי לא יוכל לבלבלו שום מונע להפילו בעצבות ועצלות חס ושלום, ולמנעו עלידיזה, חס ושלום, רק יעשה את שלו בזריזות ושמחה, ולא יסתכל על כל הבלבולים כלל, שכל זה הוא בחינת ארך אפים, בחינת אמונה, בחינת כח הגודל וכח הצומח כנ""ל:","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.6","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.6","Likutei Moharan.13","https://www.sefaria.org.il/Likutei_Moharan.13","וזה בחינת שבירת תאות ממון שעלידיזה יכולין להעלות הנפשות ולהמשיך תורה כמו שכתוב בהתורה אשרי העם השגחה בסימן יג עין שם","k_of_n","6/19 words match (window=""וזה בחינת שבירת תאות ממון שעלידיזה יכולין להעלות הנפשות ולהמשיך תורה כמו שכתוב בהתורה אשרי העם השגחה עין שם"")","6/19","Likutei Moharan.13.5.20","https://www.sefaria.org.il/Likutei_Moharan.13.5.20","והוה קאי באתרא עמיקי – עלידי ששכך תאות ממון זכה לאתרא עמיקי, שהוא בחינת חסד, כמראה החמה עמקה מן הצל (שבועות ו:), וחסד הוא אור יום, כמו שכתוב (תהילים מ״ב:ט׳): יומם יצוה ה' חסדו; ועלידי החסד זכה לבנין הבית, לבחינת שכל כנ""ל. וזה:","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.12","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.12","Likutei Moharan.35","https://www.sefaria.org.il/Likutei_Moharan.35","וכן עלידי הממון מחדש נפשו עלידי משא ומתן באמונה שהוא בחינת שנה כמו שכתוב בהתורה אשרי העם זרקא בסימן לה","k_of_n","6/18 words match (window=""וכן עלידי הממון מחדש נפשו עלידי משא ומתן באמונה שהוא בחינת שנה כמו שכתוב בהתורה אשרי העם זרקא"")","6/18","Likutei Moharan.35.5.1","https://www.sefaria.org.il/Likutei_Moharan.35.5.1","ה ועקר המחין שמקבלין עלידי האמונה, אין מקבלין אלא מאור הפנים, כמו שכתוב (משלי ט״ז:ט״ו): באור פני מלך חיים. חיים, הם המחין, כמו שכתוב: החכמה תחיה; מקבלין מאור הפנים, דרך האמונה, הנקראת מלכות, שהוא בחינת ירושלים, כמו שכתוב (בראשית י״ד:י״ז-י״ח): ומלכי צדק מלך שלם, ותרגומו: מלכא דירושלם.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.15","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.15","Likutei Moharan.13","https://www.sefaria.org.il/Likutei_Moharan.13","וזה פרוש יתגבר כארי הוא בחינת לקוטי הנפשות להעלותם כמו שכתב רבנו בהתורה אשרי העם סימן יג בחינת שירהשירים ה א אריתי מורי עם בשמי","k_of_n","9/23 words match (window=""וזה פרוש יתגבר כארי הוא בחינת לקוטי הנפשות להעלותם כמו שכתב רבנו בהתורה אשרי העם בחינת שירהשירים ה א אריתי מורי עם בשמי"")","9/23","Likutei Moharan.13.5.3","https://www.sefaria.org.il/Likutei_Moharan.13.5.3","אריה שבבחינת נפש, זה בחינת (שיר השירים ה׳:א׳): אריתי מורי עם בשמי; מורי זה בחינת מרת נפש (שמואלא א), בחינת (מלכיםב ד): ונפשה מרה לה; זה בחינות פגם הנפש, פגם הרצון. כשרוצה דברתאוה, זה הרצון הוא פגם ומרה לנפש.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.19","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.19","Likutei Moharan.13","https://www.sefaria.org.il/Likutei_Moharan.13","נמצא עלידי שמצר ודואג על הביתהמקדש זה בחינת בנינו ובנין ביתהמקדש הוא בחינת בנין הדעת שעלידיזה יכולין להעלות נפשות כנ ל כמבאר בסימן י ג הנ ל עין שם","k_of_n","7/26 words match (window=""נמצא עלידי שמצר ודואג על הביתהמקדש זה בחינת בנינו ובנין ביתהמקדש הוא בחינת בנין הדעת שעלידיזה יכולין להעלות נפשות כנ ל כמבאר הנ ל עין שם"")","7/26","Likutei Moharan.13.1.9","https://www.sefaria.org.il/Likutei_Moharan.13.1.9","וכשיתגלה חסד הזה, יתמשך הדעת, שהיא בנין הבית, בבחינת (שם ה): ואני ברב חסדך אבוא ביתך, כמו שכתוב בזהר (פנחס דף רכ:): וימינא דא זמין למבנא בימקדשא, כי הדעת הוא בחינת בית, כמאמר חכמינו זכרונם לברכה (ברכות לג.): מי שיש בו דעה, כאלו נבנה ביתהמקדש וכו':","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.22","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.22","Likutei Moharan.149","https://www.sefaria.org.il/Likutei_Moharan.149","וזה שכתב רבנו בלקוטי מוהר ן חלק א סימן קמט שחצות מסגל כמו פדיון כמו פדיון דיקא כי הפדיון הוא בחינת צדקה שמשבר תאות ממון וממתיק הדינים וכן חצות הוא שבירת השנה שהוא בחינת תאות ממון כנ ל שעלידיזה ממתיקין דינים כנ","k_of_n","10/40 words match (window=""וזה שכתב רבנו בלקוטי מוהר ן חלק א שחצות מסגל כמו פדיון כמו פדיון דיקא כי הפדיון הוא בחינת צדקה שמשבר תאות ממון וממתיק הדינים וכן חצות הוא שבירת השנה שהוא בחינת תאות ממון כנ ל שעלידיזה ממתיקין דינים כנ"")","10/40","Likutei Moharan.149.1.2","https://www.sefaria.org.il/Likutei_Moharan.149.1.2","חצות הוא מסגל כמו פדיון, כי הוא המתקת הדינים. כי צדק – דינא, ומשפט – רחמי.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.1.1","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.1.1","Likutei Moharan.1","https://www.sefaria.org.il/Likutei_Moharan.1","יתגבר כארי לעמד בבקר שיהא הוא מעורר השחר שלחן ערוך ארח חיים סימן א","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.1.2","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.1.2","Likutei Moharan.62","https://www.sefaria.org.il/Likutei_Moharan.62","על פי התורה ויסב אלהים עין שם בלקוטי מוהר ן חלק א סימן סב","pending_llm","","","","","","pending","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.2.7","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.2.7","Likutei Moharan.37","https://www.sefaria.org.il/Likutei_Moharan.37","ולילה שהם בחינת אור וחשך הם בחינת דעת וכסילות שהוא הסתרת הידיעה כמבאר בדברי רבנו ז ל בהתורה דרשו וכו סימן לז שהדעת הוא בחינת אור והכסילות בחינת הסתרת הידיעה הוא בחינת חשך כי החשך נמשך מחשכת הדעת שהוא הסתרת הידיעה שמשם","k_of_n","14/40 words match (window=""ולילה שהם בחינת אור וחשך הם בחינת דעת וכסילות שהוא הסתרת הידיעה כמבאר בדברי רבנו ז ל בהתורה דרשו וכו שהדעת הוא בחינת אור והכסילות בחינת הסתרת הידיעה הוא בחינת חשך כי החשך נמשך מחשכת הדעת שהוא הסתרת הידיעה שמשם"")","14/40","Likutei Moharan.37.2.1","https://www.sefaria.org.il/Likutei_Moharan.37.2.1","ב וגוף ונפש הם בחינת אדם ובהמה, חמר וצורה, חכמה וסכלות, בחינת אור וחשך, כמו שכתוב (קהלת ב׳:י״ג): כיתרון אור מן החשך וכו', וכמו שאמרו (רז""ל ברכות לג): גדולה דעה שנתנה בין שתי אותיות, שנאמר: כי אל דעות ה'. וכתיב (תהילים קי״ח:כ״ז): אל ה' ויאר לנו; וכתיב (שם פב): ולא ידעו ולא יבינו.","not_needed","","",""
"Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.2.10","https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.2.10","Likutei Moharan.35","https://www.sefaria.org.il/Likutei_Moharan.35","כי בלילה בעת החשך הסתלקות הדעת אז צריכין להתחזק רק באמונה לבד שהיא בחינת מלכות בחינת מטרוניתא הנ ל וזה בחינת תהלים צב ג ואמונתך בלילות וכמובא בדברי רבנו ז ל במקום אחר בלקוטי מוהר ן חלק א סימן לה עין שם","k_of_n","6/40 words match (window=""כי בלילה בעת החשך הסתלקות הדעת אז צריכין להתחזק רק באמונה לבד שהיא בחינת מלכות בחינת מטרוניתא הנ ל וזה בחינת תהלים צב ג ואמונתך בלילות וכמובא בדברי רבנו ז ל במקום אחר בלקוטי מוהר ן חלק א עין שם"")","6/40","Likutei Moharan.35.1.2","https://www.sefaria.org.il/Likutei_Moharan.35.1.2","א דע כי תשובה היא לשוב את הדבר למקום שנטל משם, והוא בחינת זרקא, המובא בזהר הקדוש (תיקונים תיקון כא דף מג: ובדף ס. ותיקון סד דף פו: ובתיקונים שבסוף הזוהר חדש דף קט:): דאזדריקת לאתר דאתנטילת מתמן; ומאן ההוא אתר, הוא חכמה. כי חכמה היא שרש כל הדברים, כמו שכתוב (שם קד): כלם בחכמה עשית.","not_needed","","",""
