RefA,RefALink,RefB,RefBLink,Snippet
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.1.15.11,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.1.15.11",Likutei Moharan.8,https://www.sefaria.org.il/Likutei_Moharan.8,"משך מהתורה, כמובא בדברי אדמו״ר ז״ל (לקוטי מוהר״ן חלק א׳ סימן ח׳): כי הכנור של דוד היה של חמש נימין, כנגד חמשה חמשי תורה, והוא "
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.3",Likutei Moharan.155,https://www.sefaria.org.il/Likutei_Moharan.155,"לות. וזה בחינת אמונה, כמו שכתב רבנו (בלקוטי מוהר״ן חלק א׳ סימן קנה) שזריזות הוא בחינת אמונה."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.6,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.6",Likutei Moharan.13,https://www.sefaria.org.il/Likutei_Moharan.13,"שיך תורה, כמו שכתוב בהתורה ״אשרי העם – השגחה״ (בסימן יג), עין שם."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.12,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.12",Likutei Moharan.35,https://www.sefaria.org.il/Likutei_Moharan.35,"א בחינת שנה, כמו שכתוב בהתורה ״אשרי העם – זרקא״ (בסימן לה)."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.15,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.15",Likutei Moharan.13,https://www.sefaria.org.il/Likutei_Moharan.13,"פשות להעלותם, כמו שכתב רבנו בהתורה ״אשרי העם״ (סימן יג), בחינת (שירהשירים ה, א) ״אריתי מורי עם בשמי״."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.19,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.19",Likutei Moharan.13,https://www.sefaria.org.il/Likutei_Moharan.13," הדעת, שעלידיזה יכולין להעלות נפשות כנ״ל, כמבאר בסימן י״ג הנ״ל, עין שם."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.2.1.22,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.2.1.22",Likutei Moharan.149,https://www.sefaria.org.il/Likutei_Moharan.149,"וזה שכתב רבנו (בלקוטי מוהר״ן חלק א׳ סימן קמט): שחצות מסגל כמו פדיון, כמו פדיון דיקא, כי הפדיון הוא בחינת צ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.1.1",Likutei Moharan.1,https://www.sefaria.org.il/Likutei_Moharan.1,"ר כארי לעמד בבקר, שיהא הוא מעורר השחר</b> (שלחן ערוך ארח חיים סימן א׳)."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.1.2",Likutei Moharan.62,https://www.sefaria.org.il/Likutei_Moharan.62,"על פי התורה ״ויסב אלהים״, עין שם (בלקוטי מוהר״ן חלק א׳ סימן סב)."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.2.7,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.2.7",Likutei Moharan.37,https://www.sefaria.org.il/Likutei_Moharan.37,"ידיעה, כמבאר בדברי רבנו ז״ל בהתורה ״דרשו וכו׳״ (סימן לז), שהדעת הוא בחינת אור, והכסילות, בחינת הסתרת הידיעה, הוא בחינת "
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.2.10,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.2.10",Likutei Moharan.35,https://www.sefaria.org.il/Likutei_Moharan.35,"ת״, וכמובא בדברי רבנו ז״ל במקום אחר (בלקוטי מוהר״ן חלק א׳ סימן לה), עין שם."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.2.12,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.2.12",Likutei Moharan.35,https://www.sefaria.org.il/Likutei_Moharan.35,"ברי רבנו ז״ל בהתורה ״אשרי העם וכו׳״ (בלקוטי מוהר״ן חלק א׳ סימן לה), עין שם."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.3.6,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.3.6",Likutei Moharan.149,https://www.sefaria.org.il/Likutei_Moharan.149,"וכמובא בזהר הקדוש (בשלח נז:) ובדברי רבנו ז״ל (סימן קמט), שעלידי קימת חצות, ועלידי שעוסקין אז בתורה, עלידיזה נמשך הד"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.3.5.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.3.5.3",Likutei Moharan.277,https://www.sefaria.org.il/Likutei_Moharan.277,", אףעלפיכן הוא לא שתה אפלו מים קדם התפלה (שיחות הר״ן סימן רעז)."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.1.2",Likutei Moharan.30,https://www.sefaria.org.il/Likutei_Moharan.30,"על פי התורה ״מישרא דסכינא וכו׳״ בסימן ל׳, עין שם כל התורה."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.3.7,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.3.7",Likutei Moharan.35,https://www.sefaria.org.il/Likutei_Moharan.35,"מה בתוך אמונה, כמו שכתוב במקום אחר (לקוטי מוהר״ן חלק א׳ סימן לה)."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.4.5,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.4.5",Likutei Moharan.22,https://www.sefaria.org.il/Likutei_Moharan.22,"הנשמה משגת, כמו שכתוב בהתורה ״חותם בתוך חותם״ (סימן כב). וזהו בחינת ״אף בשרי ישכן לבטח״ – שגם בשר הגוף ישכן לבטח, ע"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.8.7,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.8.7",Likutei Moharan.54,https://www.sefaria.org.il/Likutei_Moharan.54,"כי תפלין הם מחין (סימן נד), הם עקר המשכת השגת אלקות הנאמר בהתורה הנ״ל, שעקרה הוא בחי"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.9.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.9.2",Likutei Moharan.19,https://www.sefaria.org.il/Likutei_Moharan.19,"שת וייטב לבו, כמו שכתוב במקום אחר (לקוטי מוהר״ן חלק א׳ סימן יט)."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.11.6,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.11.6",Likutei Moharan.10,https://www.sefaria.org.il/Likutei_Moharan.10,"יתברך וכבודו, כמו שכתוב במקום אחר (לקוטי מוהר״ן חלק א׳, סימן י׳)."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.15.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.15.1",Likutei Moharan.670,https://www.sefaria.org.il/Likutei_Moharan.670,"חינת מה שמסבבין העניים בחנכה לקבל מעות חנכה (מגן אברהם סימן תרע), זה בחינת הארת פנים מלמעלה, שהשםיתברך מאיר פניו לנו לתוך ב"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.16.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.16.4",Likutei Moharan.228,https://www.sefaria.org.il/Likutei_Moharan.228,": שהיה מגיר גרים, כמובא בדבריו ז״ל (לקוטי מוהר״ן, חלק א׳, סימן רכח). וזה (שם לז, ב): ״אלה תלדות יעקב יוסף״ – הינו שיוסף הלך בדרך אביו י"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.4.16.10,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.4.16.10",Likutei Moharan.81,https://www.sefaria.org.il/Likutei_Moharan.81,"דיזה להשםיתברך, וכמובן בדבריו ז״ל בכמה מקומות (סימן פא, צא ועוד), כמה וכמה הצדיק מוריד את עצמו אל העולם, שכל זה נחשב אצל"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.5.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.5.1.1",Likutei Moharan.1,https://www.sefaria.org.il/Likutei_Moharan.1,ר כארי לעמד בבקר שיהא הוא מעורר השחר</b> (שלחן ערוך ארח חיים סימן א׳).
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Conduct.5.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Conduct.5.1.2",Likutei Moharan%2C_Part_II.8,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.8","על פי התורה ״תקעו תוכחה״ בלקוטי תנינא סימן ח׳, עין שם כל התורה מרישא לסיפא."
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.1.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.1.1.1",Likutei Moharan.56,https://www.sefaria.org.il/Likutei_Moharan.56,"כשיקום יטל ידיו וכו', עין במאמר המתחיל, וביום הבכורים בסימן נ""ו כי יש בכל אחד מישראל בחינת מלכות וכו', עין שם:"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.2.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.2.1.1",Likutei Moharan.250,https://www.sefaria.org.il/Likutei_Moharan.250,"חרית בעת שמתעורר משינתו על פי מה שאמר רבנו ז""ל בסימן רנ על שאלת ההוא אובי טמיא (ברכות נט) מאי גוהא בשעה שהקדוש ברוך הוא זוכר את "
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.2.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.2.1.2",Likutei Moharan.35,https://www.sefaria.org.il/Likutei_Moharan.35,"נה בקדשה הוא על-ידי אמונה, כמובא בדברי רבנו ז""ל (סימן לה), הינו בשעת הסתלקות הדעת, בחינת שנה, דהינו כשרואה אדם שד"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.2.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.2.1.2",Likutei Moharan.56,https://www.sefaria.org.il/Likutei_Moharan.56," כי אשא אל שמים ידי, כמובא בדברי רבנו במקום אחר (בסימן נו). ושם עקר אחיזת הסטרא אחרא, בחינת חכמת הטבע, בחינת ידים, כי הם"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.2.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.2.2.1",Likutei Moharan.21,https://www.sefaria.org.il/Likutei_Moharan.21,"ים אלו הם בחינת דעת, כמובא בדברי רבנו במקום אחר (בסימן כא). ואלו הז' נקבי הראש הם בבחינת (זכריה ד׳:י׳) שבעה אלה עיני ה' המה משו"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.2.4.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.2.4.1",Likutei Moharan.4,https://www.sefaria.org.il/Likutei_Moharan.4,"י כל הגליות מכונים בשם מצרים כמו שכתב רבנו ז""ל במקום אחר בסימן ד', על-כן התחילה הגאלה בחצות הלילה, כמו שכתוב (שמות י״א:ד׳), ""כחצות"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.2.6.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.2.6.1",Likutei Moharan.7,https://www.sefaria.org.il/Likutei_Moharan.7,"רי רבנו בסוף מאמר ""ואלה המשפטים"" המדבר מאמונה (בסימן ז') שזכרון הוא בחינת אמונה, כי עקר השכחה הוא מבחינת הזמן וכו' ו"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.2.11.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.2.11.1",Likutei Moharan%2C_Part_II.67,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.67","ה וחשך (וכמבואר מזה במקום אחר בדברי רבינו ז""ל במאמר ""בראשית-לעיני כל ישראל"" בסימן ס""ז בלקוטי תנינא) כי האש זה בחינת תקף הדין שנמשך מבחינת הטבע כנ""ל,"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.2.15.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.2.15.1",Likutei Moharan.62,https://www.sefaria.org.il/Likutei_Moharan.62,"יקא בבחינת (תהילים ל״ז:ג׳) ורעה אמונה כמובא במקום אחר (בסימן ס""ב) כי כשאינו אוכל בקדשה, על-ידי זה נפגם הדעת שהוא בחינת השגח"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.3.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.3.1.1",Likutei Moharan%2C_Part_II.82,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.82","נטילת ידים אחר השנה, על פי התורה ""כי תצא למלחמה"" בלקוטי תנינא בסימן פ""ב עין שם כל התורה:"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.3.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.3.2.1",Likutei Moharan.37,https://www.sefaria.org.il/Likutei_Moharan.37," בחינת חכמה ודעת, כמבאר בדברי רבנו ז""ל במקום אחר (בסימן לז) וכמו שכתוב (קהלת ב׳:י״ג), ""כיתרון האור מן החשך כן יתרון החכמה וכו'"""
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.3.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.3.2.1",Likutei Moharan.37,https://www.sefaria.org.il/Likutei_Moharan.37,"ר וחשך חכמה וסכלות, כמובא בהתורה ""דרשו ה' ועזו"" (בסימן לז) ואין לגוף שום חיות כי אם על-ידי הנשמה, על-כן בלילה, שאז אין הד"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.3.4.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.3.4.1",Likutei Moharan.21,https://www.sefaria.org.il/Likutei_Moharan.21,"קבים אלו, שהם בחינת שבעת הנרות, כמבאר במקום אחר (סימן כ""א) ועל-כן קדם נטילה אסור לגע בהם בידיו כדי שלא יתגבר בחינת של"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.4.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.4.1.1",Likutei Moharan.65,https://www.sefaria.org.il/Likutei_Moharan.65," על-פי התורה ""ויאמר בעז אל רות"" בסימן ס""ה, עין שם כל התורה היטב והכלל, שהאדם צריך תמיד להסתכל על התכ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.4.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.4.2.1",Likutei Moharan.54,https://www.sefaria.org.il/Likutei_Moharan.54,"תימא דעינין ומשם שרש השנה, (כמובא בהתורה ""ויהי מקץ זכרון"" סימן נ""ד) שבשעת שנה מתדבקין בעלמא דאתי, שהוא בחינת בטול וכן בהתו"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.4.2.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.4.2.1",Likutei Moharan.7,https://www.sefaria.org.il/Likutei_Moharan.7,"מא דאתי, שהוא בחינת בטול וכן בהתורה ""כי מרחמם ינהגם"" סימן ז' על מאמר רבותינו זכרונם לברכה, והיה רבי אליעזר ישן, מובן גם כן "
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.4.8.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.4.8.1",Likutei Moharan.18,https://www.sefaria.org.il/Likutei_Moharan.18,"ינת תכלת שבציצית, כי תכלת בחינת התכלית, כמבאר (בסימן י""ח) ועל זה נאמר, ""וראיתם אותו"", שעקרו נאמר על התכלית, הינו שצריכין "
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Morning Hand Washing.4.10.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Morning_Hand_Washing.4.10.1",Likutei Moharan.18,https://www.sefaria.org.il/Likutei_Moharan.18,"חברות שחור ולבן כידוע (יז) וכמו שכתוב במקום אחר (סימן י""ח), הינו בחינת כלל התורה שהיא בחינת אש שחורה על גבי אש לבנה, (יח)"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Fringes.1.1.2,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Fringes.1.1.2",Likutei Moharan.29,https://www.sefaria.org.il/Likutei_Moharan.29,"עין מאמר המתחיל, מאי חזא דאזיל להיכא דמידליה מיניה בסימן כט, עין מה שכתוב שם, שצריך לשמר מאד את הבגדים מכתם ולכלוך וש"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Fringes.1.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Fringes.1.1.3",Likutei Moharan.127,https://www.sefaria.org.il/Likutei_Moharan.127,"שהלבושים נקיים הם שמירה גדולה, כמבאר במקום אחר (סימן קכז) ועל-כן צריך לשמר מאד את הבגדים כנ""ל, ועל-כן צותה התורה על ציצ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Fringes.1.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Fringes.1.1.3",Likutei Moharan.8,https://www.sefaria.org.il/Likutei_Moharan.8,"וחות בואי הרוח, שהם בחינת ד' ציצית, כמו שכתב רבנו (בסימן ח') וזה שכתב רבנו (בסימן ז') שציצית הם שמירה לניאוף וזה שאמרו רבות"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Fringes.1.1.3,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Fringes.1.1.3",Likutei Moharan.7,https://www.sefaria.org.il/Likutei_Moharan.7,"ינת ד' ציצית, כמו שכתב רבנו (בסימן ח') וזה שכתב רבנו (בסימן ז') שציצית הם שמירה לניאוף וזה שאמרו רבותינו זכרונם לברכה (שבת קנג),"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Fringes.1.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Fringes.1.1.4",Likutei Moharan.56,https://www.sefaria.org.il/Likutei_Moharan.56,"וכו' ואזי נעשה מהם בחינת דעת [וזה שאמר רבנו (חלק א' סימן נו) שהשלום תלוי בדעת, כי הדעת הוא בחינת התחברות שני הפכים שהם ח"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Fringes.1.1.4,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Fringes.1.1.4",Likutei Moharan.62,https://www.sefaria.org.il/Likutei_Moharan.62,"יניקתם כשאין שלום ויש מחלקת, כמו שכתב רבנו (חלק א' סימן סב) שעקר יניקתם ממחלקת שהוא בחינת עכירת הדעת הפך השלום וזהו אס"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Fringes.1.1.5,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Fringes.1.1.5",Likutei Moharan.7,https://www.sefaria.org.il/Likutei_Moharan.7," בחינת שמירת הברית, וזה שאמר רבנו במקום אחר (חלק א' סימן ז') גם כן שציצית הם שמירה לניאוף, ועל-כן יש בהם ל""ט כריכות, זה בחינ"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Fringes.1.1.5,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Fringes.1.1.5",Likutei Moharan.11,https://www.sefaria.org.il/Likutei_Moharan.11,"וספת קדשה, כמו שאמר רבנו במאמר ""אני ה' הוא שמי"" (בסימן יא) וזה שכתוב בציצית (במדבר טו), ""והייתם קדושים לאלקיכם"" והוא""ו הוא בחינת "
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Fringes.1.1.5,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Fringes.1.1.5",Likutei Moharan.36,https://www.sefaria.org.il/Likutei_Moharan.36,"טי י""ה, שזה הוא על-ידי תקון הכללי, כמו שכתב רבנו (בסימן לו) ועל-ידי ציצית, שהם תקון הבגדים, בחינת תקון הכללי אז הדבור מת"
Likutei Halakhot%2C_Orach Chaim%2C_Laws of Fringes.2.1.1,"https://www.sefaria.org.il/Likutei_Halakhot,_Orach_Chaim,_Laws_of_Fringes.2.1.1",Likutei Moharan%2C_Part_II.12,"https://www.sefaria.org.il/Likutei_Moharan,_Part_II.12","ענין ציצית על-פי מה שאמר רבנו נ""י, בלקוטי תנינא סימן י""ב על פסוק י' ""ואיה השה לעולה"", עין שם היטב:"
